,scores_teaching,scores_research,scores_citations,name,scores_industry_income,scores_international_outlook,location,stats_number_students,male_ratio,female_ratio,male_population,female_population,subjects_offered,stats_pc_intl_students
10,87.8,89.6,97.3,Columbia University,48.0,79.8,United States,21608.0,0.0,0.0,0.0,0.0,"Politics & International Studies (incl Development Studies),Economics & Econometrics,Communication & Media Studies,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Mathematics & Statistics,Accounting & Finance,Agriculture & Forestry,Sport Science,Architecture,General Engineering,Chemical Engineering,Psychology,Law,Languages, Literature & Linguistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Sociology,Computer Science,Chemistry,Archaeology,Other Health,Mechanical & Aerospace Engineering,Medicine & Dentistry,Biological Sciences,Physics & Astronomy,Business & Management",35.0
11,81.4,88.3,97.6,Imperial College London,70.8,97.5,United Kingdom,17715.0,40.0,60.0,7086.0,10629.0,"Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Medicine & Dentistry,Chemical Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Civil Engineering,Other Health,Electrical & Electronic Engineering,Biological Sciences",59.0
12,80.0,90.8,97.2,Johns Hopkins University,93.7,74.6,United States,16552.0,52.0,48.0,8607.0,7945.0,"Sociology,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Accounting & Finance,Archaeology,Psychology,Biological Sciences,Art, Performing Arts & Design,Business & Management,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Economics & Econometrics,Chemical Engineering,Education,Languages, Literature & Linguistics,Chemistry,Other Health,Physics & Astronomy,Computer Science,Mathematics & Statistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology",28.0
13,84.5,89.2,97.1,University of Pennsylvania,77.6,69.7,United States,21211.0,53.0,47.0,11242.0,9969.0,"Economics & Econometrics,Archaeology,Medicine & Dentistry,Geography,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Law,Veterinary Science,Sociology,Biological Sciences,Psychology,Civil Engineering,Computer Science,Sport Science,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Agriculture & Forestry,Other Health,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Art, Performing Arts & Design,Chemical Engineering,Education,Architecture,Physics & Astronomy,General Engineering,History, Philosophy & Theology",22.0
14,81.3,92.4,90.7,ETH Zurich,62.5,97.9,Switzerland,20428.0,32.0,68.0,6537.0,13891.0,"Mathematics & Statistics,Mechanical & Aerospace Engineering,Accounting & Finance,Chemical Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),General Engineering,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,Civil Engineering,Agriculture & Forestry,Medicine & Dentistry,Other Health,Sport Science,Geology, Environmental, Earth & Marine Sciences,Computer Science,Biological Sciences,Architecture,Education,Chemistry",41.0
15,91.4,94.6,81.7,Peking University,93.1,65.1,China,31606.0,46.0,54.0,14539.0,17067.0,"Other Health,Physics & Astronomy,Business & Management,Psychology,Education,Biological Sciences,Medicine & Dentistry,Communication & Media Studies,Art, Performing Arts & Design,General Engineering,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Computer Science,Sociology,Archaeology,Accounting & Finance,Law,Geography,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",19.0
16,88.1,95.7,86.8,Tsinghua University,100.0,50.6,China,38221.0,34.0,66.0,12995.0,25226.0,"Economics & Econometrics,Languages, Literature & Linguistics,Art, Performing Arts & Design,Geography,Education,Other Health,Communication & Media Studies,Sociology,Accounting & Finance,Architecture,Chemistry,Chemical Engineering,History, Philosophy & Theology,Physics & Astronomy,Mechanical & Aerospace Engineering,General Engineering,Business & Management,Medicine & Dentistry,Civil Engineering,Psychology,Electrical & Electronic Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Sport Science,Computer Science,Archaeology,Politics & International Studies (incl Development Studies),Law,Biological Sciences",13.0
17,77.6,93.0,92.6,University of Toronto,61.2,89.1,Canada,75821.0,57.0,43.0,43218.0,32603.0,"Politics & International Studies (incl Development Studies),Law,Education,Biological Sciences,Electrical & Electronic Engineering,Business & Management,Languages, Literature & Linguistics,General Engineering,Mathematics & Statistics,Accounting & Finance,Civil Engineering,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Geography,Economics & Econometrics,Chemistry,Communication & Media Studies,Archaeology,Medicine & Dentistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemical Engineering,Sport Science,Sociology,Art, Performing Arts & Design,Physics & Astronomy,Other Health,Architecture",25.0
18,76.8,88.9,96.9,UCL,44.7,96.7,United Kingdom,35760.0,58.0,42.0,20741.0,15019.0,"Archaeology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Education,Psychology,Computer Science,Mathematics & Statistics,Architecture,Chemistry,Medicine & Dentistry,General Engineering,Economics & Econometrics,Law,Geography,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Other Health,Electrical & Electronic Engineering,Sociology",57.0
19,82.1,89.8,96.0,"University of California, Los Angeles",56.5,65.1,United States,42054.0,55.0,45.0,23130.0,18924.0,"Chemical Engineering,Psychology,Biological Sciences,Mechanical & Aerospace Engineering,Medicine & Dentistry,General Engineering,Communication & Media Studies,Agriculture & Forestry,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Art, Performing Arts & Design,History, Philosophy & Theology,Computer Science,Chemistry,Sociology,Languages, Literature & Linguistics,Sport Science,Other Health,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Mathematics & Statistics,Education,Economics & Econometrics,Geography,Architecture,Physics & Astronomy,Electrical & Electronic Engineering,Law,Veterinary Science",17.0
20,76.3,90.6,87.3,National University of Singapore,75.4,94.4,Singapore,31819.0,50.0,50.0,15910.0,15910.0,"Other Health,Sport Science,Accounting & Finance,Archaeology,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Physics & Astronomy,History, Philosophy & Theology,Psychology,Law,Agriculture & Forestry,General Engineering,Languages, Literature & Linguistics,Geography,Veterinary Science,Art, Performing Arts & Design,Business & Management,Politics & International Studies (incl Development Studies),Chemical Engineering,Computer Science,Electrical & Electronic Engineering,Economics & Econometrics,Chemistry,Mathematics & Statistics,Architecture,Sociology,Medicine & Dentistry,Biological Sciences,Civil Engineering,Mechanical & Aerospace Engineering",25.0
21,78.6,85.4,97.2,Cornell University,38.3,75.4,United States,23600.0,50.0,50.0,11800.0,11800.0,"Other Health,Biological Sciences,Psychology,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Sociology,Physics & Astronomy,Computer Science,Chemistry,Archaeology,Veterinary Science,Politics & International Studies (incl Development Studies),General Engineering,Chemical Engineering,Law,Architecture,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Business & Management,Communication & Media Studies",25.0
22,79.2,78.6,95.6,Duke University,99.0,66.6,United States,15785.0,52.0,48.0,8208.0,7577.0,"Medicine & Dentistry,Psychology,Other Health,Biological Sciences,Computer Science,Agriculture & Forestry,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Languages, Literature & Linguistics,Communication & Media Studies,Accounting & Finance,General Engineering,Sociology,Business & Management,Civil Engineering,Chemistry,Mechanical & Aerospace Engineering,Physics & Astronomy,Art, Performing Arts & Design,Economics & Econometrics,Electrical & Electronic Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Law",22.0
23,78.6,85.4,94.0,University of Michigan-Ann Arbor,48.9,59.5,United States,44663.0,50.0,50.0,22332.0,22332.0,"Chemistry,Architecture,Agriculture & Forestry,Languages, Literature & Linguistics,Psychology,Sociology,Law,Computer Science,Chemical Engineering,Other Health,Archaeology,Mathematics & Statistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Medicine & Dentistry,Education,Accounting & Finance,Biological Sciences,Sport Science,Business & Management,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences",17.0
24,74.3,82.1,97.6,Northwestern University,81.6,65.3,United States,18735.0,50.0,50.0,9368.0,9368.0,"Computer Science,Geography,Physics & Astronomy,Languages, Literature & Linguistics,Business & Management,Biological Sciences,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,Civil Engineering,Sociology,Education,General Engineering,History, Philosophy & Theology,Architecture,Economics & Econometrics,Mechanical & Aerospace Engineering,Communication & Media Studies,Medicine & Dentistry,Law,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Chemistry,Other Health",19.0
25,75.4,83.1,94.7,New York University,41.4,72.3,United States,45424.0,57.0,43.0,25892.0,19532.0,"Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Law,Art, Performing Arts & Design,Business & Management,Chemical Engineering,General Engineering,Computer Science,Accounting & Finance,Mathematics & Statistics,Sociology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Archaeology,Economics & Econometrics,Biological Sciences,Education,Geology, Environmental, Earth & Marine Sciences,Other Health,Architecture,Psychology,Civil Engineering,Chemistry,History, Philosophy & Theology",35.0
26,68.0,80.8,94.4,London School of Economics and Political Science,35.8,92.7,United Kingdom,10910.0,53.0,47.0,5782.0,5128.0,"History, Philosophy & Theology,Mathematics & Statistics,Geography,Psychology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Economics & Econometrics,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Business & Management,Sociology,Law",72.0
27,64.7,80.0,99.0,Carnegie Mellon University,59.0,80.8,United States,14163.0,43.0,57.0,6090.0,8073.0,"Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science,Politics & International Studies (incl Development Studies),Civil Engineering,Business & Management,Economics & Econometrics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Biological Sciences,Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,Chemical Engineering,Chemistry,Physics & Astronomy,Psychology,Architecture",47.0
28,68.8,78.8,99.0,University of Washington,46.3,61.7,United States,52059.0,54.0,46.0,28112.0,23947.0,"Psychology,History, Philosophy & Theology,Other Health,Chemistry,Languages, Literature & Linguistics,General Engineering,Chemical Engineering,Physics & Astronomy,Agriculture & Forestry,Computer Science,Biological Sciences,Archaeology,Education,Veterinary Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Mathematics & Statistics,Architecture,Medicine & Dentistry,Electrical & Electronic Engineering,Sociology,Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Law,Geography",17.0
29,66.1,74.2,95.6,University of Edinburgh,40.2,95.2,United Kingdom,31630.0,61.0,39.0,19294.0,12336.0,"Computer Science,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,Veterinary Science,Archaeology,Physics & Astronomy,General Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Architecture,Chemistry,Sport Science,Other Health,Sociology,Geography,Languages, Literature & Linguistics,Art, Performing Arts & Design,Civil Engineering,Education,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Law,Chemical Engineering,Economics & Econometrics,Psychology,Biological Sciences",44.0
30,66.2,72.2,95.0,University of Hong Kong,58.5,98.8,Hong Kong,18037.0,54.0,46.0,9740.0,8297.0,"Agriculture & Forestry,Art, Performing Arts & Design,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Business & Management,Geography,Medicine & Dentistry,Biological Sciences,Other Health,Communication & Media Studies,Mathematics & Statistics,Accounting & Finance,Education,Law,Mechanical & Aerospace Engineering,Architecture,Psychology,Economics & Econometrics,Chemistry,General Engineering,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Computer Science,Sociology",43.0
31,68.1,77.9,90.3,LMU Munich,100.0,69.1,Germany,34274.0,61.0,39.0,20907.0,13367.0,"Psychology,Education,Computer Science,Business & Management,Law,Sociology,Medicine & Dentistry,Mathematics & Statistics,History, Philosophy & Theology,Biological Sciences,Geography,Other Health,Archaeology,Physics & Astronomy,Art, Performing Arts & Design,Chemistry,Communication & Media Studies,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Veterinary Science,Politics & International Studies (incl Development Studies)",18.0
32,67.5,73.8,88.4,University of Melbourne,74.9,94.0,Australia,52098.0,57.0,43.0,29696.0,22402.0,"Art, Performing Arts & Design,Sociology,Medicine & Dentistry,Agriculture & Forestry,Sport Science,Law,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Languages, Literature & Linguistics,Computer Science,Physics & Astronomy,Electrical & Electronic Engineering,History, Philosophy & Theology,Geography,Chemical Engineering,Politics & International Studies (incl Development Studies),Education,Business & Management,Psychology,Biological Sciences,Archaeology,Mechanical & Aerospace Engineering,Veterinary Science,Communication & Media Studies,Other Health,Mathematics & Statistics,General Engineering,Accounting & Finance,Architecture,Chemistry,Civil Engineering",50.0
33,60.5,75.6,97.9,"University of California, San Diego",96.6,68.1,United States,36256.0,48.0,52.0,17403.0,18853.0,"Other Health,Computer Science,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Biological Sciences,Sociology,History, Philosophy & Theology,Education,Mathematics & Statistics,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Chemistry,Accounting & Finance,Civil Engineering,Psychology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences",29.0
34,57.6,71.2,96.9,King’s College London,43.7,95.9,United Kingdom,28250.0,62.0,38.0,17515.0,10735.0,"Accounting & Finance,Geography,Economics & Econometrics,Computer Science,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,Chemistry,Other Health,Law,Archaeology,Psychology,Electrical & Electronic Engineering,Medicine & Dentistry,Mechanical & Aerospace Engineering,Communication & Media Studies,Education,Mathematics & Statistics,General Engineering,Biological Sciences,Sport Science,Sociology,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Physics & Astronomy,Business & Management",49.0
35,86.9,90.3,58.2,The University of Tokyo,88.1,42.0,Japan,25959.0,0.0,0.0,0.0,0.0,"Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemical Engineering,Computer Science,Communication & Media Studies,Archaeology,General Engineering,Geography,Business & Management,Civil Engineering,Sport Science,Mechanical & Aerospace Engineering,Other Health,Physics & Astronomy,Biological Sciences,Law,Mathematics & Statistics,Languages, Literature & Linguistics,Veterinary Science,Electrical & Electronic Engineering,Medicine & Dentistry,History, Philosophy & Theology,Education,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Agriculture & Forestry,Sociology,Architecture,Chemistry,Psychology",14.0
36,61.6,74.0,89.4,University of British Columbia,47.4,94.9,Canada,54744.0,55.0,45.0,30109.0,24635.0,"Psychology,Geography,Biological Sciences,General Engineering,Communication & Media Studies,Chemical Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Chemistry,Education,Civil Engineering,Other Health,Medicine & Dentistry,Accounting & Finance,Archaeology,Law,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Agriculture & Forestry,Economics & Econometrics,Politics & International Studies (incl Development Studies),Architecture,Art, Performing Arts & Design,Computer Science,Sport Science,Sociology,Mechanical & Aerospace Engineering,Business & Management,History, Philosophy & Theology",33.0
37,64.5,74.8,85.5,Technical University of Munich,100.0,76.1,Germany,32672.0,37.0,63.0,12089.0,20583.0,"Chemical Engineering,Chemistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Biological Sciences,Electrical & Electronic Engineering,Accounting & Finance,Business & Management,Civil Engineering,Physics & Astronomy,Computer Science,Mathematics & Statistics,Education,Sport Science,Architecture,General Engineering,Agriculture & Forestry,Sociology",33.0
38,55.1,71.0,94.2,Karolinska Institute,70.5,86.2,Sweden,7937.0,69.0,31.0,5477.0,2460.0,"Education,Psychology,Chemical Engineering,Other Health,Mathematics & Statistics,Medicine & Dentistry,Sociology,Languages, Literature & Linguistics,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Business & Management",24.0
39,63.8,67.0,85.5,École Polytechnique Fédérale de Lausanne,74.9,98.3,Switzerland,11266.0,29.0,71.0,3267.0,7999.0,"Architecture,General Engineering,Chemistry,Computer Science,Electrical & Electronic Engineering,Biological Sciences,Chemical Engineering,Civil Engineering,Mathematics & Statistics,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering",62.0
40,69.1,71.2,80.1,Paris Sciences et Lettres – PSL Research University Paris,78.7,80.5,France,20547.0,47.0,53.0,9657.0,10890.0,"History, Philosophy & Theology,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Archaeology,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Other Health,Politics & International Studies (incl Development Studies),Chemical Engineering,General Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Law,Civil Engineering,Economics & Econometrics,Sociology,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,Geography,Physics & Astronomy,Biological Sciences,Computer Science",25.0
41,67.9,59.9,95.5,Universität Heidelberg,54.2,69.6,Germany,19530.0,55.0,45.0,10742.0,8788.0,"History, Philosophy & Theology,Sport Science,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Law,Education,Mathematics & Statistics,Geography,Politics & International Studies (incl Development Studies),Computer Science,Economics & Econometrics,Other Health,Psychology,Chemistry,Sociology,Archaeology,Art, Performing Arts & Design,Biological Sciences,Languages, Literature & Linguistics,Medicine & Dentistry",19.0
42,59.1,73.2,86.2,KU Leuven,99.2,74.2,Belgium,46327.0,51.0,49.0,23627.0,22700.0,"Electrical & Electronic Engineering,Chemistry,Accounting & Finance,Sport Science,Politics & International Studies (incl Development Studies),Chemical Engineering,Business & Management,Education,General Engineering,Psychology,Economics & Econometrics,Computer Science,Mechanical & Aerospace Engineering,Geography,Art, Performing Arts & Design,Physics & Astronomy,History, Philosophy & Theology,Other Health,Civil Engineering,Biological Sciences,Communication & Media Studies,Archaeology,Mathematics & Statistics,Languages, Literature & Linguistics,Sociology,Agriculture & Forestry,Architecture,Geology, Environmental, Earth & Marine Sciences,Law,Medicine & Dentistry",16.0
43,63.3,70.9,83.9,McGill University,45.3,91.5,Canada,31581.0,59.0,41.0,18633.0,12948.0,"Accounting & Finance,Education,Biological Sciences,Art, Performing Arts & Design,Archaeology,Law,Politics & International Studies (incl Development Studies),Other Health,Computer Science,Mathematics & Statistics,Architecture,Languages, Literature & Linguistics,Civil Engineering,Psychology,Business & Management,Chemistry,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Medicine & Dentistry,Sport Science,Sociology,History, Philosophy & Theology,Chemical Engineering,Agriculture & Forestry,Geography,General Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Communication & Media Studies",32.0
44,58.2,69.4,91.4,Georgia Institute of Technology,71.4,77.7,United States,27838.0,33.0,67.0,9187.0,18651.0,"Architecture,Computer Science,Business & Management,Chemistry,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Civil Engineering,Languages, Literature & Linguistics,Sociology,Accounting & Finance,Geography,Psychology,Art, Performing Arts & Design,Mathematics & Statistics",25.0
45,57.2,70.3,85.1,"Nanyang Technological University, Singapore",87.0,93.9,Singapore,23951.0,48.0,52.0,11496.0,12455.0,"Civil Engineering,Economics & Econometrics,Psychology,Education,Sport Science,Sociology,Politics & International Studies (incl Development Studies),Accounting & Finance,Electrical & Electronic Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,Chemistry,Communication & Media Studies,Other Health,Computer Science,General Engineering,Physics & Astronomy,Chemical Engineering,Mathematics & Statistics,Art, Performing Arts & Design,History, Philosophy & Theology",24.0
46,67.9,71.5,89.4,University of Texas at Austin,50.1,39.8,United States,49845.0,53.0,47.0,26418.0,23427.0,"Architecture,Business & Management,Law,Communication & Media Studies,Biological Sciences,Economics & Econometrics,Psychology,Education,Sport Science,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Archaeology,Medicine & Dentistry,Electrical & Electronic Engineering,Sociology,General Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Accounting & Finance,Mechanical & Aerospace Engineering,Geography,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry",10.0
